,Wesley Warren Nolte,Victor Pedersen,JS Media GmbH,Mariano Daniel Pardo,Jeppe Kirk Bonde,Martina Del Giorno,Heloise Greeff,Reinhardt Gert Coetzee,Richard Mark Stroud,Kieran Neil Wilinson,Harry Stephan Harrison,Edward Philip Butler,Lena Virginia Birse,Libor Vasa,Teoh Khai Liang,Antonio Emanuele Fasciani,Blue Screen Media ApS,Aaron Wee Chong En,Guillaume Serdan,Can Zhao,SP500
Wesley Warren Nolte,1.0,0.280407772047275,0.6532685274139173,0.5517666331193061,0.5829625658697037,0.3566610814130018,0.6991544009592666,0.7449217735812548,0.6251019629732227,0.6714894643418327,0.664325991395899,0.44457485968506816,0.43103974144531065,0.4547409583317652,0.7489219743530472,0.18770305970553494,0.3995679084459438,0.7192840267227031,0.5390536860358368,0.4265583119386245,0.4744765837369669
Victor Pedersen,0.280407772047275,1.0,0.492230635991761,0.3458375925333112,0.20694261564939317,0.7382957695264957,0.36780098231991276,0.42259305770521827,0.5186428325322249,0.442812580749103,0.27187288235913576,0.38921669165787803,0.39737899350568373,0.3596484142845779,0.4818967041608365,0.44349115722390364,0.2542571481773136,0.25048893995804067,0.3526507713348379,0.49145492728116463,0.18543279755492967
JS Media GmbH,0.6532685274139173,0.492230635991761,1.0,0.7711578328559721,0.5406065548755072,0.6180817172179508,0.728938616685444,0.7654032227370017,0.6126627620906306,0.5686116299963625,0.7281060163274995,0.7905585687394827,0.8213420688394101,0.7039236874120259,0.8379237729470089,0.4209876348220443,0.5801900865727805,0.5598716224738545,0.755969387973294,0.6381775625195746,0.5684002240031267
Mariano Daniel Pardo,0.5517666331193061,0.3458375925333112,0.7711578328559721,1.0,0.604882491436091,0.5342102728870853,0.8025582907671714,0.9028318417160652,0.5214481798470398,0.6129743598332876,0.7467069472211559,0.48067009955176376,0.7606526867949264,0.7270935073035686,0.8095866348162977,0.07777101178653047,0.46223053929800834,0.7976450809082166,0.5516858323923642,0.3563665508399104,0.6591103452448573
Jeppe Kirk Bonde,0.5829625658697037,0.20694261564939317,0.5406065548755072,0.604882491436091,1.0,0.27343538116663924,0.6288331752123097,0.6955007263485661,0.5462987786269212,0.5885282324440365,0.8343376204869013,0.7256232414663734,0.5383817186433371,0.5855249812664586,0.7110498842451477,0.061886691190452044,0.28543435601706585,0.7772430478277615,0.5095715058902219,0.42017267023383914,0.6271491361195434
Martina Del Giorno,0.3566610814130018,0.7382957695264957,0.6180817172179508,0.5342102728870853,0.27343538116663924,1.0,0.6033744368010509,0.5241041939825681,0.6724648059111233,0.5295696672388981,0.32598166601791967,0.44749049658880097,0.5135612325559045,0.5065717141083329,0.6127157019855511,0.6429790116472796,0.37162787273037123,0.3854710499272245,0.5040357166415924,0.5311995023975358,0.28540573709997674
Heloise Greeff,0.6991544009592666,0.36780098231991276,0.728938616685444,0.8025582907671714,0.6288331752123097,0.6033744368010509,1.0,0.8644455564310163,0.591271351877189,0.6080625844028654,0.7359246689939186,0.5164980754450877,0.734635750895071,0.6423832164485277,0.7865352725874261,0.01549221677892635,0.5040595713646879,0.7931727662011192,0.5432858276691307,0.40980425527566744,0.7485438655717422
Reinhardt Gert Coetzee,0.7449217735812548,0.42259305770521827,0.7654032227370017,0.9028318417160652,0.6955007263485661,0.5241041939825681,0.8644455564310163,1.0,0.537554094460654,0.6450653879844658,0.75102435469326,0.5604324357043091,0.9433878998181939,0.6987019089405272,0.8073009875568542,0.10746550071157007,0.42084362731848085,0.7570948652602231,0.5932583127299033,0.417295144678287,0.7493695822067208
Richard Mark Stroud,0.6251019629732227,0.5186428325322249,0.6126627620906306,0.5214481798470398,0.5462987786269212,0.6724648059111233,0.591271351877189,0.537554094460654,1.0,0.6556015243347412,0.429227679228612,0.6249323305716629,0.5332354843786233,0.5671928105038819,0.6636379169137793,0.3087120822158804,0.41000760602694764,0.4968567167600738,0.5508566647017497,0.44937932423163385,0.46369134356939123
Kieran Neil Wilinson,0.6714894643418327,0.442812580749103,0.5686116299963625,0.6129743598332876,0.5885282324440365,0.5295696672388981,0.6080625844028654,0.6450653879844658,0.6556015243347412,1.0,0.5567003311698184,0.42714223106806903,0.6402175270691297,0.5853932168380119,0.6108327105296296,0.14562848728466746,0.3028098719690449,0.6219618383541515,0.6350006364858396,0.4989594275685307,0.5793951939839138
